,Ang Mo Kio,Bedok,Bidadari,Bishan,Bukit Batok,Bukit Merah,Bukit Panjang,Bukit Timah,Central,Changi,Choa Chu Kang,Clementi,Geylang,Hougang,Jurong East,Jurong West,Kallang,Kembangan,Marine Parade,Novena,Pasir Ris,Punggol,Queenstown,Sembawang,Sengkang,Sentosa,Serangoon,Tampines,Toa Payoh,Whampoa,Woodlands,Woodland,Yishun
1891,12.0,15.0,0.0,9.0,8.0,12.0,6.0,4.0,47.0,2.0,10.0,4.0,15.0,16.0,3.0,17.0,16.0,2.0,5.0,0.0,12.0,13.0,14.0,5.0,11.0,4.0,10.0,35.0,4.0,4.0,16.0,1.0,19.0
1892,13.0,11.0,3.0,1.0,10.0,19.0,7.0,3.0,36.0,3.0,9.0,6.0,12.0,21.0,14.0,19.0,21.0,3.0,7.0,0.0,13.0,14.0,10.0,4.0,21.0,2.0,8.0,18.0,7.0,2.0,24.0,2.0,15.0
1893,13.0,9.0,1.0,6.0,6.0,19.0,7.0,2.0,19.0,1.0,14.0,5.0,12.0,13.0,6.0,20.0,15.0,1.0,5.0,0.0,15.0,18.0,9.0,9.0,17.0,1.0,10.0,21.0,4.0,3.0,20.0,3.0,12.0
1894,13.0,11.0,2.0,9.0,15.0,16.0,12.0,5.0,14.0,1.0,10.0,2.0,11.0,22.0,10.0,13.0,14.0,1.0,5.0,0.0,14.0,12.0,15.0,6.0,17.0,7.0,7.0,30.0,7.0,3.0,16.0,3.0,21.0
1895,14.0,17.0,1.0,6.0,6.0,15.0,13.0,2.0,11.0,0.0,13.0,4.0,6.0,11.0,3.0,13.0,9.0,0.0,3.0,0.0,13.0,16.0,11.0,5.0,14.0,0.0,4.0,24.0,6.0,3.0,16.0,3.0,15.0
1896,12.0,7.0,1.0,6.0,5.0,9.0,3.0,1.0,10.0,0.0,10.0,8.0,8.0,12.0,3.0,16.0,7.0,0.0,0.0,0.0,8.0,4.0,5.0,2.0,10.0,0.0,3.0,24.0,6.0,2.0,13.0,5.0,11.0
1897,6.0,7.0,0.0,1.0,6.0,12.0,5.0,1.0,3.0,0.0,5.0,1.0,6.0,14.0,1.0,5.0,5.0,1.0,5.0,0.0,9.0,9.0,7.0,3.0,10.0,0.0,5.0,14.0,1.0,0.0,7.0,0.0,13.0
1898,5.0,5.0,2.0,2.0,2.0,6.0,3.0,0.0,4.0,0.0,3.0,0.0,6.0,8.0,4.0,7.0,4.0,1.0,0.0,0.0,5.0,2.0,2.0,3.0,10.0,0.0,4.0,12.0,1.0,3.0,15.0,4.0,1.0
1899,5.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,10.0,0.0,2.0,9.0,0.0,0.0,5.0,0.0,7.0
1900,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,6.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,5.0
1901,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,0.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0
1902,4.0,4.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,7.0,1.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,6.0,1.0,1.0,8.0,4.0,1.0,8.0,1.0,2.0
1903,5.0,3.0,0.0,0.0,6.0,4.0,2.0,0.0,5.0,1.0,6.0,2.0,0.0,4.0,1.0,6.0,1.0,0.0,0.0,0.0,3.0,13.0,1.0,2.0,11.0,3.0,1.0,7.0,1.0,0.0,2.0,1.0,10.0
1904,10.0,6.0,0.0,4.0,4.0,3.0,6.0,0.0,5.0,3.0,11.0,4.0,2.0,9.0,6.0,8.0,4.0,0.0,3.0,1.0,6.0,14.0,6.0,2.0,14.0,0.0,3.0,12.0,4.0,0.0,13.0,4.0,11.0
1905,7.0,9.0,1.0,1.0,10.0,5.0,10.0,5.0,9.0,1.0,12.0,5.0,7.0,13.0,5.0,18.0,7.0,1.0,3.0,0.0,8.0,8.0,5.0,5.0,12.0,1.0,2.0,10.0,3.0,1.0,16.0,3.0,5.0
1906,6.0,12.0,0.0,5.0,13.0,11.0,5.0,4.0,15.0,0.0,11.0,5.0,11.0,9.0,12.0,15.0,11.0,0.0,4.0,0.0,14.0,9.0,15.0,5.0,13.0,2.0,7.0,18.0,5.0,2.0,11.0,2.0,13.0
1907,7.0,13.0,0.0,8.0,3.0,16.0,6.0,1.0,22.0,2.0,9.0,7.0,11.0,14.0,3.0,18.0,15.0,1.0,2.0,0.0,12.0,12.0,14.0,7.0,15.0,0.0,6.0,20.0,5.0,2.0,15.0,2.0,14.0
1908,11.0,9.0,0.0,3.0,9.0,11.0,14.0,6.0,33.0,2.0,9.0,3.0,16.0,16.0,12.0,18.0,14.0,0.0,5.0,0.0,14.0,13.0,9.0,2.0,12.0,2.0,12.0,17.0,7.0,1.0,14.0,1.0,5.0
1909,14.0,15.0,2.0,4.0,8.0,22.0,13.0,6.0,42.0,2.0,12.0,7.0,7.0,9.0,15.0,10.0,14.0,1.0,5.0,0.0,14.0,16.0,17.0,5.0,13.0,5.0,8.0,32.0,4.0,2.0,14.0,0.0,11.0
